grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat
6,1660,0,1915-01-01,0,98065,47.529
10,3370,280,1921-01-01,0,98119,47.6345
11,2690,1600,1997-01-01,0,98006,47.5503
11,2690,1600,1997-01-01,0,98006,47.5503
8,1350,600,1979-01-01,0,98058,47.4441
8,1720,870,1948-01-01,0,98133,47.7357
8,1930,0,1988-01-01,0,98042,47.346
7,1170,300,1916-01-01,0,98103,47.6638
6,800,0,1943-01-01,0,98166,47.48
9,3150,0,2013-01-01,0,98052,47.6759
8,2030,0,1984-01-01,0,98027,47.5162
7,1450,0,2003-01-01,0,98001,47.2639
7,1510,0,1969-01-01,0,98023,47.2929
6,960,280,1922-01-01,1984,98146,47.4957
6,960,280,1922-01-01,1984,98146,47.4957
9,3030,0,1987-01-01,0,98077,47.7721
9,2050,0,1922-01-01,0,98102,47.644
7,1000,0,1952-01-01,0,98166,47.472
9,1590,780,1977-01-01,0,98005,47.592
9,1890,910,1951-01-01,2002,98105,47.669
7,2240,0,1955-01-01,0,98198,47.42
8,1810,0,1991-01-01,0,98022,47.1913
7,1070,0,1924-01-01,0,98103,47.6666
9,2490,0,1968-01-01,0,98040,47.5639
7,1960,0,2003-01-01,0,98038,47.3483
9,1860,1070,2004-01-01,0,98072,47.7648
7,1510,0,1911-01-01,0,98103,47.6794
7,1420,0,1954-01-01,0,98133,47.7535
7,1740,0,1954-01-01,0,98178,47.4945
7,2560,0,1962-01-01,0,98052,47.6945
9,2420,620,2010-01-01,0,98059,47.5222
8,1300,1200,1957-01-01,0,98125,47.7222
6,1275,0,1991-01-01,0,98070,47.3796
8,2580,0,2002-01-01,0,98065,47.5374
6,1000,0,1943-01-01,0,98178,47.4897
6,1000,0,1943-01-01,0,98178,47.4897
6,1070,0,1930-01-01,0,98059,47.4716
7,1390,0,1987-01-01,0,98030,47.3581
7,1250,1250,1973-01-01,0,98155,47.7713
4,560,0,1967-01-01,0,98014,47.675
9,2270,0,1965-01-01,0,98040,47.5603
7,1300,600,1954-01-01,0,98166,47.4147
7,790,200,1907-01-01,0,98103,47.68
7,1050,500,1969-01-01,0,98001,47.3117
7,1100,1100,1955-01-01,0,98118,47.543
7,1910,0,2005-01-01,0,98038,47.3607
7,1750,0,1954-01-01,0,98006,47.5759
7,1330,0,1928-01-01,1954,98033,47.6891
9,1980,460,2000-01-01,0,98116,47.565
7,1640,0,1992-01-01,0,98053,47.6359
9,2760,0,1978-01-01,0,98059,47.4769
7,1820,0,1994-01-01,0,98038,47.3845
8,1340,770,2013-01-01,0,98033,47.6743
8,1640,1400,1966-01-01,0,98006,47.5651
7,1840,0,1994-01-01,0,98045,47.4853
9,2990,0,2002-01-01,0,98166,47.4508
10,3520,0,1991-01-01,0,98074,47.6375
8,1910,530,1989-01-01,0,98075,47.5944
7,1370,720,1986-01-01,0,98056,47.4888
7,1430,0,1993-01-01,0,98056,47.5112
7,1100,1080,1954-01-01,0,98133,47.7711
7,1100,1080,1954-01-01,0,98133,47.7711
9,3450,0,2004-01-01,0,98023,47.2813
7,1450,0,1994-01-01,0,98056,47.5038
10,3230,0,2004-01-01,0,98075,47.5823
7,1110,530,1940-01-01,0,98125,47.7164
7,1060,530,1997-01-01,0,98038,47.3624
7,2020,0,1960-01-01,0,98115,47.6831
7,1300,0,1904-01-01,2014,98144,47.592
6,1380,0,1954-01-01,0,98011,47.7461
10,3030,1010,1986-01-01,0,98077,47.7268
7,2130,0,2001-01-01,0,98019,47.7237
8,1580,970,1968-01-01,0,98052,47.6283
11,3480,1320,1998-01-01,0,98006,47.5543
8,2510,0,1969-01-01,0,98040,47.5483
7,1410,0,1983-01-01,0,98072,47.7591
7,1160,490,1979-01-01,0,98058,47.4612
8,2120,0,1993-01-01,0,98146,47.4987
7,1380,660,1954-01-01,0,98177,47.772
7,1550,0,1957-01-01,0,98106,47.5287
9,1980,0,1979-01-01,0,98008,47.6109
8,1600,0,2005-01-01,0,98019,47.7736
8,3300,0,1953-01-01,0,98004,47.6294
10,3840,0,1983-01-01,0,98040,47.5634
7,1220,0,1950-01-01,0,98028,47.7405
7,1500,1220,1958-01-01,0,98008,47.5976
8,1940,0,1962-01-01,0,98006,47.5722
7,1260,900,1909-01-01,2011,98118,47.5644
7,1530,0,1968-01-01,0,98058,47.4556
8,1290,420,2008-01-01,0,98122,47.6055
7,2150,1580,1974-01-01,0,98022,47.1775
7,940,0,1937-01-01,0,98117,47.6879
8,1750,0,1994-01-01,0,98045,47.4807
7,1820,0,1994-01-01,0,98038,47.3845
9,1330,180,2001-01-01,0,98116,47.5815
8,1290,0,2001-01-01,0,98103,47.6609
7,1570,0,1998-01-01,0,98092,47.3163
8,1930,0,1995-01-01,0,98055,47.4309
10,2840,0,1986-01-01,0,98038,47.401
7,1550,0,1991-01-01,0,98031,47.404
5,833,0,2006-01-01,0,98070,47.3889
8,2990,0,1978-01-01,0,98077,47.7718
9,2000,0,1995-01-01,0,98034,47.7067
7,2390,0,1920-01-01,0,98178,47.504
7,1530,1380,1967-01-01,0,98052,47.7015
7,1610,475,1964-01-01,0,98024,47.5753
7,1290,910,1962-01-01,0,98133,47.7448
8,1860,0,2012-01-01,0,98019,47.7318
12,6070,0,1999-01-01,0,98024,47.5954
7,950,0,1941-01-01,0,98103,47.6885
7,1600,0,1955-01-01,0,98006,47.5724
8,2250,0,1988-01-01,0,98056,47.5272
8,2280,0,1985-01-01,0,98058,47.4334
7,940,0,1909-01-01,0,98122,47.6073
7,1030,500,1996-01-01,0,98038,47.3592
7,2190,0,1947-01-01,1974,98166,47.4546
8,1770,580,1976-01-01,0,98004,47.6408
7,1200,240,1971-01-01,0,98034,47.7245
8,2200,0,2005-01-01,0,98058,47.4362
9,2290,0,1990-01-01,0,98042,47.3739
11,4040,0,1987-01-01,0,98052,47.7205
8,1920,690,1922-01-01,0,98103,47.6636
7,1490,0,2005-01-01,0,98055,47.4324
8,2450,0,2003-01-01,0,98011,47.7734
9,1440,270,1976-01-01,2014,98006,47.559
10,3470,1400,1983-01-01,0,98074,47.633
10,3130,0,1991-01-01,0,98052,47.6954
8,1270,0,2000-01-01,0,98115,47.6776
8,1540,580,1977-01-01,0,98146,47.504
7,1670,0,1954-01-01,0,98001,47.2613
7,2070,0,1974-01-01,0,98001,47.3417
8,1070,350,1953-01-01,0,98105,47.6694
6,1250,0,1980-01-01,0,98038,47.4056
7,940,0,1960-01-01,0,98032,47.3838
7,1920,0,1968-01-01,0,98072,47.7487
10,2610,935,2005-01-01,0,98027,47.5534
7,1260,0,1972-01-01,0,98034,47.7355
7,1300,1040,1975-01-01,0,98034,47.7206
8,1440,1150,1977-01-01,0,98028,47.7691
10,3260,710,1977-01-01,1999,98034,47.7183
7,1220,0,1965-01-01,0,98011,47.7736
6,1400,0,1976-01-01,0,98038,47.362
8,1710,650,1983-01-01,0,98006,47.5698
8,1870,0,1960-01-01,0,98040,47.5505
9,2830,0,2001-01-01,0,98028,47.7605
8,2260,0,1994-01-01,0,98072,47.7356
9,1770,200,1980-01-01,0,98070,47.3844
9,1770,1370,1966-01-01,0,98055,47.4904
7,1240,0,1986-01-01,0,98042,47.3663
10,3450,0,2007-01-01,0,98006,47.5637
8,2570,0,1989-01-01,0,98042,47.3759
7,1510,0,1985-01-01,0,98031,47.3912
9,2390,0,1988-01-01,0,98023,47.3305
6,980,0,1953-01-01,0,98133,47.7617
4,430,0,1912-01-01,0,98014,47.6499
7,1480,0,1954-01-01,0,98133,47.7311
8,1850,0,1997-01-01,0,98042,47.3701
7,1920,350,1947-01-01,0,98168,47.4857
8,1810,0,1993-01-01,0,98038,47.3724
6,1610,0,1930-01-01,1983,98178,47.4855
10,3840,0,2000-01-01,0,98074,47.6336
9,3130,980,1928-01-01,2013,98125,47.717
11,3150,1040,2000-01-01,0,98074,47.6332
9,3390,0,2011-01-01,0,98074,47.5906
7,1890,0,2003-01-01,0,98029,47.5461
9,1080,530,2005-01-01,0,98118,47.5674
7,850,200,1949-01-01,0,98115,47.6943
5,630,0,1918-01-01,0,98126,47.5486
8,1780,1130,1975-01-01,0,98033,47.6658
7,850,850,1955-01-01,0,98006,47.5772
9,1950,0,1990-01-01,0,98042,47.3875
8,2990,0,1973-01-01,0,98005,47.6344
7,900,450,1950-01-01,0,98136,47.5275
9,4860,0,1993-01-01,0,98074,47.6179
8,1460,700,1978-01-01,0,98023,47.3078
11,3860,1000,1998-01-01,0,98006,47.5521
6,890,0,1917-01-01,0,98118,47.5158
9,2810,0,2002-01-01,0,98075,47.5985
8,3400,0,1977-01-01,0,98027,47.5645
7,960,620,1963-01-01,0,98052,47.6734
7,1680,0,1987-01-01,0,98055,47.4734
7,1300,0,1968-01-01,0,98042,47.3811
7,2380,440,1960-01-01,0,98034,47.7081
7,1070,440,1972-01-01,0,98034,47.7193
8,870,360,2004-01-01,0,98112,47.6192
9,1710,400,1925-01-01,2003,98116,47.5836
7,1610,1470,1958-01-01,0,98032,47.3841
7,1190,300,1900-01-01,0,98116,47.5872
7,2120,0,2000-01-01,0,98065,47.5322
9,3180,0,2003-01-01,0,98065,47.5416
7,860,630,1929-01-01,0,98117,47.6799
8,1930,0,1966-01-01,0,98042,47.3672
10,2770,0,1999-01-01,0,98033,47.684
7,1670,0,1963-01-01,0,98055,47.4404
7,1330,0,1993-01-01,0,98188,47.4467
7,1210,0,1924-01-01,0,98107,47.6729
7,1030,160,1941-01-01,0,98136,47.5346
7,820,720,1946-01-01,0,98119,47.6454
10,4030,0,2006-01-01,0,98033,47.6821
8,1580,850,1981-01-01,0,98052,47.7206
8,2600,0,2005-01-01,0,98059,47.4877
9,4410,0,1990-01-01,0,98053,47.6554
7,1330,0,1949-01-01,0,98133,47.7343
7,950,950,1951-01-01,0,98116,47.5789
7,1100,0,1950-01-01,0,98133,47.7439
6,1580,400,1932-01-01,0,98030,47.3818
9,2400,0,2001-01-01,0,98033,47.6734
9,3390,1370,1916-01-01,0,98112,47.6415
10,3180,0,2005-01-01,0,98059,47.4711
6,1190,0,1958-01-01,0,98058,47.452
6,630,0,1943-01-01,2005,98178,47.4973
8,1520,1010,2005-01-01,0,98133,47.7546
5,1690,0,1930-01-01,0,98055,47.4667
6,940,0,1951-01-01,0,98126,47.5186
7,1240,0,1952-01-01,0,98004,47.6221
7,3040,0,2003-01-01,0,98053,47.683
11,6050,0,2001-01-01,0,98024,47.6033
6,1590,0,1944-01-01,0,98125,47.7315
9,2500,0,1984-01-01,0,98052,47.6917
7,1320,460,1978-01-01,0,98038,47.3608
7,1360,0,1978-01-01,0,98092,47.2852
10,4740,0,1987-01-01,0,98075,47.5931
7,1010,0,1962-01-01,0,98198,47.4097
6,1040,0,1971-01-01,0,98010,47.3105
7,1610,0,1985-01-01,0,98058,47.4296
7,1570,0,1979-01-01,0,98011,47.7373
7,1010,500,1900-01-01,0,98103,47.6582
7,1360,0,1994-01-01,0,98042,47.3577
8,1970,0,1999-01-01,0,98055,47.449
12,5403,0,1976-01-01,0,98166,47.4169
7,1560,0,2003-01-01,0,98056,47.5025
8,2270,50,1973-01-01,0,98032,47.3644
8,2120,0,1967-01-01,0,98075,47.5896
8,2120,0,1983-01-01,0,98031,47.3914
11,3350,0,1988-01-01,0,98052,47.7197
10,2380,0,1991-01-01,0,98006,47.5623
9,720,350,2008-01-01,0,98106,47.5213
7,1560,740,1979-01-01,0,98058,47.4518
6,1320,0,1943-01-01,0,98168,47.4949
7,1140,1040,1946-01-01,0,98040,47.5885
10,3580,800,1952-01-01,0,98199,47.6452
7,1790,0,1949-01-01,0,98155,47.749
6,750,0,1943-01-01,0,98055,47.4727
7,1300,0,1956-01-01,0,98028,47.7403
9,2990,0,1999-01-01,0,98059,47.5146
11,2860,1780,1965-01-01,2003,98040,47.5666
7,1400,0,1959-01-01,0,98188,47.4339
8,2750,0,1973-01-01,0,98052,47.6368
7,2050,0,1998-01-01,0,98042,47.3628
7,1410,820,1978-01-01,0,98065,47.52
8,2340,0,1982-01-01,0,98092,47.2953
9,2870,0,2014-01-01,0,98103,47.6935
10,4120,0,1997-01-01,0,98074,47.6239
7,1370,710,1960-01-01,0,98005,47.5846
7,1840,0,2008-01-01,0,98053,47.6969
6,1180,0,1959-01-01,0,98178,47.505
7,1530,630,1927-01-01,0,98105,47.667
8,1180,0,1907-01-01,0,98109,47.6376
6,870,290,1937-01-01,0,98014,47.6929
7,1830,0,2003-01-01,0,98038,47.3572
10,3200,0,2004-01-01,0,98075,47.5816
7,1760,800,1927-01-01,0,98108,47.5502
8,2550,0,1902-01-01,0,98122,47.6136
7,1040,290,1981-01-01,0,98058,47.4478
7,1220,0,1963-01-01,0,98038,47.4219
7,1805,0,2009-01-01,0,98002,47.3521
9,4150,1900,2009-01-01,0,98077,47.7466
8,2320,0,2004-01-01,0,98028,47.7727
6,1384,0,1965-01-01,0,98023,47.3062
9,2720,0,2005-01-01,0,98065,47.5422
